# path	git_blob_sha1	normalized_marker_sha256	source_area
crates/audio/candle-audio-moss-sfx/src/lib.rs	42ab0edd92145c93efd87013a43f108b0afb40aa	5586d3632a9e97d4bbb3bff0f76ec16fdec9f3609673aafdd725f7812f2a0b77	architecture:crates/audio/candle-audio-moss-sfx
crates/audio/candle-audio-moss-sfx/src/qwen3.rs	1226c23c7383021e21113f60a4255dfe1917ae44	2d6fb06bec9bce733cb0e89d8e91f7306cac8dbdc53de0afb0f783ec2335873a	architecture:crates/audio/candle-audio-moss-sfx
crates/audio/candle-audio-moss-sfx/src/sampler.rs	bbc165596d3f0d3b348399b5840e9274d214e96e	7294eafc9437a5221982512bb13f41304314efd7b09946be9ef98bfe2d42d1b4	architecture:crates/audio/candle-audio-moss-sfx
crates/audio/candle-audio-moss-sfx/src/text.rs	10c35457a674f81126dace841254f1caa44f7916	34685acc925d60791c8d6707c4027321ed9dc62c68dc213590994c517d1533f9	architecture:crates/audio/candle-audio-moss-sfx
crates/audio/candle-audio-moss-sfx/src/vae.rs	1e52958cf0fdef6d48de8ab1b2aac5fbaa7bcb20	70f427fc0619e543dce66011fd374852735fc48a6e9303d99965a50f9da8fca7	architecture:crates/audio/candle-audio-moss-sfx
crates/audio/candle-audio-moss-tts-realtime/src/backbone.rs	30e3081c853ffb1d8a4caeba34812b225379312f	34685acc925d60791c8d6707c4027321ed9dc62c68dc213590994c517d1533f9	architecture:crates/audio/candle-audio-moss-tts-realtime
crates/audio/candle-audio-moss-tts-realtime/src/codec.rs	da3220e15c16cd75ada51bddd4077a85df44f0ad	9e5b1dac32e4de284db8dd1011b437e65137b9a329a35ad4697e66316b76aaec	architecture:crates/audio/candle-audio-moss-tts-realtime
crates/audio/candle-audio-moss-tts-realtime/src/local.rs	9cf7e225a09e597e6103f23265e66a580da46a80	34685acc925d60791c8d6707c4027321ed9dc62c68dc213590994c517d1533f9	architecture:crates/audio/candle-audio-moss-tts-realtime
crates/audio/candle-audio-moss-tts/src/backbone.rs	d78a89f1f84bd9fc3f16df6f959329699dff0217	34685acc925d60791c8d6707c4027321ed9dc62c68dc213590994c517d1533f9	architecture:crates/audio/candle-audio-moss-tts
crates/audio/candle-audio-moss-tts/src/decode.rs	74f91a1dc88cd8b9b7f0825df1587f3be7a2c5f6	77449385b4646ed75eb54f20030e314442d0a72be32a541c34107be4b7e41530	architecture:crates/audio/candle-audio-moss-tts
crates/audio/candle-audio-openvoice/src/converter.rs	ed5df00457123b23954353b2530ea674ccf9aa00	05bbb8f4061dd5307807d6bf4603943a249a9c0b8d49aafb0dd5947d23f43fa2	architecture:crates/audio/candle-audio-openvoice
crates/audio/candle-audio-openvoice/src/lib.rs	38cf32db65857c4f5af83d1e9c77b0cc07609fb6	5586d3632a9e97d4bbb3bff0f76ec16fdec9f3609673aafdd725f7812f2a0b77	architecture:crates/audio/candle-audio-openvoice
